,customer_id,name,gender,age,city,signup_date
45,46,조우혁,F,62.0,부산,2025-11-02
46,47,박성원,F,67.0,수원,2025-01-31
47,48,홍하준,M,24.0,광주,2023-09-28
48,49,송수준,M,54.0,인천,2025-04-01
49,50,황우혁,F,20.0,울산,2025-10-12
50,51,윤민현,M,25.0,부산,2025-07-05
51,52,박유현,F,64.0,울산,2026-03-14
52,53,안정수,M,41.0,서울,2025-08-20
53,54,임민연,F,39.0,대구,2023-10-31
54,55,장유미,M,61.0,부산,2024-11-20
55,56,오채연,F,67.0,서울,2025-02-19
56,57,최민민,M,53.0,인천,2026-01-03
57,58,권우원,M,33.0,서울,2026-01-26
58,59,신은진,M,47.0,부산,2025-10-07
59,60,오지혁,M,26.0,부산,2026-04-08
60,61,임현우,M,58.0,고양,2025-07-19
61,62,김우주,F,62.0,울산,2026-05-28
62,63,오예우,M,30.0,성남,2024-08-20
63,64,조채수,M,69.0,대구,2025-04-26
64,65,오수민,M,62.0,광주,
65,66,김우진,M,54.0,울산,2025-03-26
66,67,정성주,F,21.0,울산,2026-05-06
67,68,오유람,F,40.0,인천,2026-02-24
68,69,송하준,M,59.0,성남,2025-06-06
69,70,윤수윤,M,53.0,대구,2025-09-28
70,71,장승성,M,36.0,광주,2024-02-18
71,72,조진성,M,18.0,울산,2023-11-12
72,73,황혜주,F,47.0,수원,2024-01-17
73,74,홍정호,F,27.0,부산,2023-08-26
74,75,강예미,F,32.0,울산,2023-08-19
75,76,서승민,M,44.0,서울,2025-02-13
76,77,윤은빈,M,28.0,서울,2026-05-06
77,78,신서윤,M,47.0,부산,2025-09-08
78,79,임수람,F,55.0,부산,2024-09-28
79,80,송예진,M,30.0,광주,2023-08-16
80,81,강예미,F,64.0,광주,2025-01-25
81,82,장서원,M,56.0,수원,2025-11-22
82,83,이우호,F,43.0,서울,2025-11-02
83,84,장도성,M,42.0,성남,2025-09-29
84,85,윤도호,M,33.0,부산,2023-10-05
85,86,황지경,F,22.0,부산,2023-12-24
86,87,정성주,M,51.0,부산,2026-03-30
87,88,김정민,M,41.0,대구,2026-08-24
88,89,안정성,M,68.0,Unknown,2025-06-21
89,90,윤서미,F,57.0,수원,2024-09-22
90,91,오수경,M,59.0,광주,2023-11-13
91,92,강영원,F,25.0,광주,2025-01-04
92,93,윤도우,M,18.0,울산,2025-01-26
93,94,전유우,F,27.0,인천,2024-08-14
94,95,신현주,M,49.0,인천,2023-10-20
95,96,이성주,F,36.0,울산,2026-06-20
96,97,박지준,F,41.0,부산,2024-12-26
97,98,정재람,M,47.0,광주,2025-03-15
98,99,오우진,F,51.0,인천,2024-06-22
99,100,권예람,M,57.0,광주,2025-07-03
100,101,최혜영,M,41.0,수원,2024-04-11
101,102,홍채영,M,45.0,부산,2023-10-18
102,103,윤현빈,F,23.0,대구,2025-05-16
103,104,윤혜원,F,38.0,서울,2025-08-31
104,105,임은미,F,24.0,광주,2025-09-13
105,106,신하주,F,63.0,고양,2023-08-05
106,107,신유경,M,55.0,울산,2026-02-22
107,108,최채현,M,56.0,대전,2024-07-20
108,109,홍민아,M,34.0,성남,
109,110,박승희,F,45.0,성남,2025-04-05
110,111,이승민,M,49.0,부산,2023-09-04
111,112,권하우,F,40.0,인천,2023-08-13
112,113,장예준,F,63.0,부산,2025-06-13
113,114,한하호,F,35.0,대구,2026-02-16
114,115,박승윤,F,47.0,수원,2025-12-24
115,116,강예호,F,65.0,광주,2026-07-24
116,117,신예경,M,21.0,인천,2023-09-08
117,118,최혜현,M,30.0,대전,2025-05-21
118,119,서성미,M,20.0,인천,2024-01-26
119,120,윤서영,F,41.0,부산,2024-04-15
120,121,전예혁,F,41.0,광주,2023-12-26
121,122,임현주,F,38.0,대구,2025-05-23
122,123,정지현,F,66.0,대구,2024-02-29
123,124,전민원,F,26.0,대구,2025-01-07
124,125,송하준,F,28.0,부산,2023-10-19
125,126,신승민,F,53.0,고양,2025-12-03
126,127,임지진,F,49.0,부산,2025-11-10
127,128,황성람,M,23.0,울산,2025-08-14
128,129,최성미,M,52.0,인천,2024-01-03
129,130,신준미,F,68.0,수원,2025-09-02
130,131,장유주,M,67.0,대구,2025-11-21
131,132,김준현,M,62.0,인천,2025-09-02
132,133,이민우,F,20.0,광주,2024-04-23
133,134,장준희,M,56.0,대전,2025-06-09
134,135,안예원,M,41.0,광주,2025-11-30
135,136,한영주,F,22.0,고양,2025-11-16
136,137,최유원,F,33.0,서울,2026-02-06
137,138,장지호,F,58.0,서울,2023-12-02
138,139,윤은준,F,61.0,대구,2026-05-03
139,140,강우연,M,68.0,광주,2025-09-04
140,141,서민현,M,18.0,서울,2026-01-23
141,142,정채경,F,41.0,인천,2023-11-09
142,143,전하수,M,33.0,대전,2023-10-01
143,144,조우호,F,90.0,인천,2024-03-13
144,145,황지민,M,32.0,서울,2025-02-15
145,146,임현미,M,62.0,대구,2024-01-04
146,147,박우원,M,42.0,고양,2023-11-19
147,148,홍채원,F,56.0,서울,2026-04-10
148,149,김유람,M,32.0,서울,2025-03-23
149,150,장재민,F,37.0,수원,2024-03-19
